decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,scientificName,acronymName,speciesShort,source
53.63121,35.88146,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.62363,35.87014,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.63121,35.88146,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.62363,35.87014,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.63121,35.88146,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.62363,35.87014,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.63121,35.88146,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.894,35.86468,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.62309,35.869,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.6148,35.86794,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.91861,35.73266,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.76148,35.73751,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.88742,35.81388,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.77853,35.73524,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.6148,35.86794,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.91861,35.73266,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.90408,35.8332,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.92215,35.73175,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.62309,35.869,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.62309,35.869,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.91861,35.73266,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.62363,35.87014,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.6148,35.86794,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.92215,35.73175,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.77853,35.73524,50,Lumbricus terrestris,Lt,L.t.,GBIFwithoutInat
53.90408,35.8332,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.894,35.86468,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.90408,35.8332,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.61943,35.87607,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.61943,35.87607,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.894,35.86468,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.76148,35.73751,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.91861,35.73266,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.63121,35.88146,50,Lumbricus terrestris,Lt,L.t.,GBIFwithoutInat
53.90408,35.8332,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.6148,35.86794,50,Lumbricus terrestris,Lt,L.t.,GBIFwithoutInat
53.894,35.86468,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.6148,35.86794,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.76148,35.73751,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
53.88742,35.81388,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.88742,35.81388,50,Lumbricus terrestris,Lt,L.t.,GBIFwithoutInat
53.61943,35.87607,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.76148,35.73751,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.91861,35.73266,50,Lumbricus terrestris,Lt,L.t.,GBIFwithoutInat
53.92215,35.73175,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.62309,35.869,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.88742,35.81388,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.88742,35.81388,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
53.77853,35.73524,50,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
53.894,35.86468,50,Lumbricus terrestris,Lt,L.t.,GBIFwithoutInat
53.92215,35.73175,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.77853,35.73524,50,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
53.61943,35.87607,50,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
54.85844,37.63119,10,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
54.90749,37.56639,10,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
54.90749,37.56639,10,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
54.87642,37.62268,10,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
54.87642,37.62268,10,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
54.87504,37.6235,10,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
54.8633,37.5641,300,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
69.0592,35.756283,NA,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.5166,64.05,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.5292,64.1372,30,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
67.5844,64.1525,30,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
67.5167,64.1167,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.5167,64.1167,30,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
67.5292,64.1372,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.5166,64.05,30,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
67.4308,63.8392,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.7,30.7,25000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
60.5,29.45,10000,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
62.373799,30.959596,10000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
62.457664,31.164746,10000,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.03,30.13,10000,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.644391,29.690164,100000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
60.26,29.83,1000,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.644391,29.690164,100000,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.644391,29.690164,100000,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.6,30.7,2000,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
60.17,29.87,2000,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.6,30.7,2000,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.03,30.13,10000,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
62.373799,30.959596,10000,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
62.457664,31.164746,10000,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.7,30.7,25000,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
64.005831,30.370602,10000,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
64.26,35.42,NA,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.79,34.39,1000,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
55.41753,55.53072,5000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
67.1631,60.8517,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.1661,60.8519,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.1655,60.8522,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.1652,60.8578,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.165,60.8552,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
67.1658,60.8525,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
57.76251,40.92858,5000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
56.48913,32.95598,2000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
51.913,44.6794,100,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
51.46086,45.93461,5000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
50.708,47.0814,100,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
51.3049,45.407,100,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
61.8369,50.7144,30,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.8369,50.7144,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.8733,50.7247,30,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.8547,50.7186,30,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.8547,50.7186,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.8803,50.7269,30,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.8514,50.6753,30,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.8547,50.7186,30,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
62.2667,50.6825,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.9133,50.6836,30,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.9133,50.6836,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.8514,50.6753,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
62.2667,50.6825,30,Lumbricus rubellus,Lr,L.r.,GBIFwithoutInat
61.8803,50.7269,30,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
61.8803,50.7269,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.8733,50.7247,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.8725,50.6569,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.9367,50.6819,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
62.0322,50.7214,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.9358,50.6864,30,Dendrobaena octaedra,Do,D.o.,GBIFwithoutInat
61.8369,50.7144,30,Octolasion lacteum,Ol,O.l.,GBIFwithoutInat
67.66666,33.63333,5000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
67.63333,33.65,5000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
59.90223,30.25742,100,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
62.15046,58.65167,200,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
55.9666,37.80715,150,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
59.96691,30.24872,100,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
58.80066,43.99207,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
56.11678,37.81087,2000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
55.578,37.3272,50,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
56.93253,41.0932,5000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
58.43007,42.291715,5000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
56.55833,40.12001,5000,Aporrectodea caliginosa,Ac,A.c.,GBIFwithoutInat
